,name,scdid,scid,nseId,bseId,stkname,scdid_href,stkname_href,href
180,Gujarat Gas,GGC,GGC,GUJGASLTD,539336,gujaratgas,GGC,gujaratgas,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgas/GGC
181,Gujarat Pipavav,GPP03,GPP03,GPPL,533248,gujaratpipavavport,GPP03,gujaratpipavavport,https://www.moneycontrol.com/india/stockpricequote/shipping/gujaratpipavavport/GPP03
182,Gulf Oil Lubric,GOL01,GOL01,GULFOILLUB,538567,gulfoillubricantsindia,GOL01,gulfoillubricantsindia,https://www.moneycontrol.com/india/stockpricequote/lubricants/gulfoillubricantsindia/GOL01
183,Hathway Cable,HCD,HCD,HATHWAY,533162,hathwaycabledatacom,HCD,hathwaycabledatacom,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hathwaycabledatacom/HCD
184,Havells India,HI01,HI01,HAVELLS,517354,havellsindia,HI01,havellsindia,https://www.moneycontrol.com/india/stockpricequote/electricequipment/havellsindia/HI01
185,Hawkins Cooker,HC02,HC02,HAWKINCOOK,508486,hawkinscooker,HC02,hawkinscooker,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/hawkinscooker/HC02
186,HCL Tech,HCL02,HCL02,HCLTECH,532281,hcltechnologies,HCL02,hcltechnologies,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02
187,HDFC,HDF,HDF,HDFC,500010,housingdevelopmentfinancecorporation,HDF,housingdevelopmentfinancecorporation,https://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF
188,HDFC AMC,HAM02,HAM02,HDFCAMC,541729,hdfcassetmanagementcompany,HAM02,hdfcassetmanagementcompany,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/hdfcassetmanagementcompany/HAM02
189,HDFC Bank,HDF01,HDF01,HDFCBANK,500180,hdfcbank,HDF01,hdfcbank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01
190,HDFC Life,HSL01,HSL01,HDFCLIFE,540777,hdfclifeinsurancecompanylimited,HSL01,hdfclifeinsurancecompanylimited,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/hdfclifeinsurancecompanylimited/HSL01
191,HEG,HEG,HEG,HEG,509631,heg,HEG,heg,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/heg/HEG
192,Heidelberg Cem,HCI02,MC14,HEIDELBERG,500292,heidelbergcementindia,HCI02,heidelbergcementindia,https://www.moneycontrol.com/india/stockpricequote/cementmajor/heidelbergcementindia/HCI02
193,Heritage Foods,HFI,HFI,HERITGFOOD,519552,heritagefoods,HFI,heritagefoods,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/heritagefoods/HFI
194,Hero Motocorp,HHM,HHM,HEROMOTOCO,500182,heromotocorp,HHM,heromotocorp,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/heromotocorp/HHM
195,HFCL,HFC,HFC,HFCL,500183,hfcl,HFC,hfcl,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/hfcl/HFC
196,Himadri Special,HCI01,HCI01,HSCL,500184,himadrispecialitychemical,HCI01,himadrispecialitychemical,https://www.moneycontrol.com/india/stockpricequote/chemicals/himadrispecialitychemical/HCI01
197,Hind Copper,HC07,HC07,HINDCOPPER,513599,hindustancopper,HC07,hindustancopper,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustancopper/HC07
198,Hind Zinc,HZ,HZ,HINDZINC,500188,hindustanzinc,HZ,hindustanzinc,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ
199,Hindalco,HI,H,HINDALCO,500440,hindalcoindustries,HI,hindalcoindustries,https://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI
200,Hindustan Aeron,HAL,HAL,HAL,541154,hindustanaeronauticsltd,HAL,hindustanaeronauticsltd,https://www.moneycontrol.com/india/stockpricequote/diversified/hindustanaeronauticsltd/HAL
201,Honeywell Autom,HA04,TH,HONAUT,517174,honeywellautomation,HA04,honeywellautomation,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04
202,HPCL,HPC,HPC,HINDPETRO,500104,hindustanpetroleumcorporation,HPC,hindustanpetroleumcorporation,https://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC
203,HUDCO,HUD,HUD,HUDCO,540530,housingurbandevelopmentcorporation,HUD,housingurbandevelopmentcorporation,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingurbandevelopmentcorporation/HUD
204,HUL,HU,HL,HINDUNILVR,500696,hindustanunilever,HU,hindustanunilever,https://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU
205,ICICI Bank,ICI02,ICI02,ICICIBANK,532174,icicibank,ICI02,icicibank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02
206,ICICI Lombard,ILG,ILG,ICICIGI,540716,icicilombardgeneralinsurancecompany,ILG,icicilombardgeneralinsurancecompany,https://www.moneycontrol.com/india/stockpricequote/diversified/icicilombardgeneralinsurancecompany/ILG
207,ICICI Prudentia,IPL01,IPL01,ICICIPRULI,540133,iciciprudentiallifeinsurancecompany,IPL01,iciciprudentiallifeinsurancecompany,https://www.moneycontrol.com/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01
208,ICICI Securitie,ISL04,ISL03,ISEC,541179,icicisecuritiesltd,ISL04,icicisecuritiesltd,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icicisecuritiesltd/ISL04
209,IDBI Bank,IDB05,IDB,IDBI,500116,idbibank,IDB05,idbibank,https://www.moneycontrol.com/india/stockpricequote/idbibank/idbibank/IDB05
210,IDFC,IDF,IDF,IDFC,532659,idfc,IDF,idfc,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/idfc/IDF
211,IDFC First Bank,IDF01,IDF01,IDFCFIRSTB,539437,idfcfirstbank,IDF01,idfcfirstbank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/idfcfirstbank/IDF01
212,IEX,IEE,IEE,IEX,540750,indianenergyexchange,IEE,indianenergyexchange,https://www.moneycontrol.com/india/stockpricequote/diversified/indianenergyexchange/IEE
213,IFB Industries,IFB02,IFB02,IFBIND,505726,ifbindustries,IFB02,ifbindustries,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/ifbindustries/IFB02
214,IFCI,IFC02,IFC,IFCI,500106,ifci,IFC02,ifci,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ifci/IFC02
215,IGL,IG04,IG04,IGL,532514,indraprasthagas,IG04,indraprasthagas,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
216,IIFL Finance,II15,II15,IIFL,532636,iiflfinance,II15,iiflfinance,https://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflfinance/II15
217,India Cements,IC,IC,INDIACEM,530005,indiacements,IC,indiacements,https://www.moneycontrol.com/india/stockpricequote/cementmajor/indiacements/IC
218,India Tourism D,ITD02,ITD02,ITDC,532189,indiatourismdevelopmentcorporation,ITD02,indiatourismdevelopmentcorporation,https://www.moneycontrol.com/india/stockpricequote/hotels/indiatourismdevelopmentcorporation/ITD02
219,Indiabulls Hsg,IHF01,IHF01,IBULHSGFIN,535789,indiabullshousingfinance,IHF01,indiabullshousingfinance,https://www.moneycontrol.com/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01
220,Indiabulls Real,IRE01,IRE01,IBREALEST,532832,indiabullsrealestate,IRE01,indiabullsrealestate,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/indiabullsrealestate/IRE01
221,Indiamart Inter,II12,II22,INDIAMART,542726,indiamartintermesh,II12,indiamartintermesh,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/indiamartintermesh/II12
222,Indian Bank,IB04,IB04,INDIANB,532814,indianbank,IB04,indianbank,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianbank/IB04
223,Indian Hotels,IHC,IHC,INDHOTEL,500850,indianhotelscompany,IHC,indianhotelscompany,https://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC
224,Indoco Remedies,IR05,IR05,INDOCO,532612,indocoremedies,IR05,indocoremedies,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indocoremedies/IR05
225,Indostar Capita,ICF,ICF01,INDOSTAR,541336,indostarcapitalfinance,ICF,indostarcapitalfinance,https://www.moneycontrol.com/india/stockpricequote/financegeneral/indostarcapitalfinance/ICF
226,INDUS TOWERS,BI14,BI26,INDUSTOWER,534816,industowers,BI14,industowers,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/industowers/BI14
227,IndusInd Bank,IIB,IIB,INDUSINDBK,532187,indusindbank,IIB,indusindbank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/indusindbank/IIB
228,Info Edge,IEI01,IEI01,NAUKRI,532777,infoedgeindia,IEI01,infoedgeindia,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01
229,Infosys,IT,IT,INFY,500209,infosys,IT,infosys,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/infosys/IT
230,INOX Leisure,INO01,INO01,INOXLEISUR,532706,inoxleisure,INO01,inoxleisure,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/inoxleisure/INO01
231,Interglobe Avi,IA04,IA05,INDIGO,539448,interglobeaviation,IA04,interglobeaviation,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04
232,IOB,IOB,IOB,IOB,532388,indianoverseasbank,IOB,indianoverseasbank,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianoverseasbank/IOB
233,IOC,IOC,IOC,IOC,530965,indianoilcorporation,IOC,indianoilcorporation,https://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC
234,IOL Chemicals,IOL01,TAC01,IOLCP,524164,iolchemicalspharmaceuticals,IOL01,iolchemicalspharmaceuticals,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/iolchemicalspharmaceuticals/IOL01
235,Ipca Labs,IL,IL,IPCALAB,524494,ipcalaboratories,IL,ipcalaboratories,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ipcalaboratories/IL
236,IRB Infra,IID01,IID01,IRB,532947,irbinfrastructuredevelopers,IID01,irbinfrastructuredevelopers,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/irbinfrastructuredevelopers/IID01
237,Ircon Internati,II07,II21,IRCON,541956,irconinternational,II07,irconinternational,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/irconinternational/II07
238,IRCTC,IRC,IRC,IRCTC,542830,irctc-indianrailwaycateringtourismcorp,IRC,irctcindianrailwaycateringtourismcorp,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/irctcindianrailwaycateringtourismcorp/IRC
239,ITC,ITC,ITC,ITC,500875,itc,ITC,itc,https://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC
240,ITI,ITI,ITI,ITI,523610,iti,ITI,iti,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/iti/ITI
241,IWML,IIFLW54277,IIFLW54277,IIFLWAM,542772,iiflwealthmanagementlimited,IIFLW54277,iiflwealthmanagementlimited,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/iiflwealthmanagementlimited/IIFLW54277
242,J. K. Cement,JKC03,JKC03,JKCEMENT,532644,jkcement,JKC03,jkcement,https://www.moneycontrol.com/india/stockpricequote/cementmajor/jkcement/JKC03
243,JagranPrakashan,JP12,JP12,JAGRAN,532705,jagranprakashan,JP12,jagranprakashan,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jagranprakashan/JP12
244,Jai Corp,JC08,JC01,JAICORPLTD,512237,jaicorp,JC08,jaicorp,https://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/jaicorp/JC08
245,Jamna Auto,JAI,JAI,JAMNAAUTO,520051,jamnaautoindustries,JAI,jamnaautoindustries,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI
246,JB Chemicals,JBC01,JBC,JBCHEPHARM,506943,jbchemicalspharmaceuticals,JBC01,jbchemicalspharmaceuticals,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01
247,Jindal (Hisar),JSH,JSH,JSLHISAR,539597,jindalstainlesshisar,JSH,jindalstainlesshisar,https://www.moneycontrol.com/india/stockpricequote/steellarge/jindalstainlesshisar/JSH
248,Jindal Saw,JS08,SP09,JINDALSAW,500378,jindalsaw,JS08,jindalsaw,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/jindalsaw/JS08
249,Jindal Stainles,JSL01,JS07,JSL,532508,jindalstainless,JSL01,jindalstainless,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/jindalstainless/JSL01
250,Jindal Steel,JSP,JSP,JINDALSTEL,532286,jindalsteelpower,JSP,jindalsteelpower,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/jindalsteelpower/JSP
251,JK Bank,JKB,JKB,J&KBANK,532209,jammukashmirbank,JKB,jammukashmirbank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/jammukashmirbank/JKB
252,JK Lakshmi Cem,JKL01,JKC,JKLAKSHMI,500380,jklakshmicement,JKL01,jklakshmicement,https://www.moneycontrol.com/india/stockpricequote/cementmajor/jklakshmicement/JKL01
253,JK Paper,JKP01,CPM01,JKPAPER,532162,jkpaper,JKP01,jkpaper,https://www.moneycontrol.com/india/stockpricequote/paper/jkpaper/JKP01
254,JK Tyre & Ind,JKT01,JKI,JKTYRE,530007,jktyreindustries,JKT01,jktyreindustries,https://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
255,JM Financial,JMF,JMS,JMFINANCIL,523405,jmfinancial,JMF,jmfinancial,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jmfinancial/JMF
256,Johnson Control,HHL,AA02,JCHAC,523398,johnsoncontrols-hitachiairconditioningindia,HHL,johnsoncontrolshitachiairconditioningindia,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL
257,JSW Energy,JE01,JE02,JSWENERGY,533148,jswenergy,JE01,jswenergy,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/jswenergy/JE01
258,JSW Steel,JSW01,JVS,JSWSTEEL,500228,jswsteel,JSW01,jswsteel,https://www.moneycontrol.com/india/stockpricequote/steellarge/jswsteel/JSW01
259,JTEKT India,SKS04,SSS,JTEKTINDIA,520057,jtektindia,SKS04,jtektindia,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jtektindia/SKS04
260,Jubilant Food,JF04,JF04,JUBLFOOD,533155,jubilantfoodworks,JF04,jubilantfoodworks,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04
261,Jubilant Life,JO03,VOC,JUBILANT,530019,jubilantlifesciences,JO03,jubilantlifesciences,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jubilantlifesciences/JO03
262,Just Dial,JD,JD02,JUSTDIAL,535648,justdial,JD,justdial,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/justdial/JD
263,Jyothy Labs,JL,JL,JYOTHYLAB,532926,jyothylabs,JL,jyothylabs,https://www.moneycontrol.com/india/stockpricequote/personalcare/jyothylabs/JL
264,Kajaria Ceramic,KC06,KC06,KAJARIACER,500233,kajariaceramics,KC06,kajariaceramics,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/kajariaceramics/KC06
265,Kalpataru Power,KPT,KPT,KALPATPOWR,522287,kalpatarupowertransmission,KPT,kalpatarupowertransmission,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kalpatarupowertransmission/KPT
266,Kansai Nerolac,KNP,GNP,KANSAINER,500165,kansainerolacpaints,KNP,kansainerolacpaints,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP
267,Karnataka Bank,KB04,KB04,KTKBANK,532652,karnatakabank,KB04,karnatakabank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04
268,Kaveri Seed,KSC01,KSC01,KSCL,532899,kaveriseedcompany,KSC01,kaveriseedcompany,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaveriseedcompany/KSC01
269,KEC Intl,KEC04,KEC03,KEC,532714,kecinternational,KEC04,kecinternational,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kecinternational/KEC04
270,KEI Industries,KEI,KEI,KEI,517569,keiindustries,KEI,keiindustries,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/keiindustries/KEI
271,KNR Construct,KC13,KC13,KNRCON,532942,knrconstructions,KC13,knrconstructions,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/knrconstructions/KC13
272,Kotak Mahindra,KMB,KMF,KOTAKBANK,500247,kotakmahindrabank,KMB,kotakmahindrabank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/kotakmahindrabank/KMB
273,KPIT Tech,KPITT54265,KPITT54265,KPITTECH,542651,kpittechnologies,KPITT54265,kpittechnologies,https://www.moneycontrol.com/india/stockpricequote/kpittech/kpittechnologies/KPITT54265
274,KPR Mill,M15,M09,KPRMILL,532889,kprmill,M15,kprmill,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/kprmill/M15
275,KRBL,KRB01,KRB,KRBL,530813,krbl,KRB01,krbl,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/krbl/KRB01
276,KSB Pumps,KSB,KSB,KSB,500249,ksb,KSB,ksb,https://www.moneycontrol.com/india/stockpricequote/pumps/ksb/KSB
277,L&T Finance,LFH,LFH,L&TFH,533519,ltfinanceholdings,LFH,ltfinanceholdings,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ltfinanceholdings/LFH
278,L&T Infotech,LI12,LI09,LTI,540005,larsentoubroinfotech,LI12,larsentoubroinfotech,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/larsentoubroinfotech/LI12
279,L&T Technology,LTS,LTS,LTTS,540115,lttechnologyservices,LTS,lttechnologyservices,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/lttechnologyservices/LTS
280,La Opala RG,LOR,LOG,LAOPALA,526947,laopalarg,LOR,laopalarg,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/laopalarg/LOR
281,Lakshmi Machine,LMW,LMW,LAXMIMACH,500252,lakshmimachineworks,LMW,lakshmimachineworks,https://www.moneycontrol.com/india/stockpricequote/textilesmachinery/lakshmimachineworks/LMW
282,Larsen,LT,LT,LT,500510,larsentoubro,LT,larsentoubro,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/larsentoubro/LT
283,Laurus Labs,LL05,LL06,LAURUSLABS,540222,lauruslabs,LL05,lauruslabs,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lauruslabs/LL05
284,Lemon Tree Hote,LTH,LTH,LEMONTREE,541233,lemontreehotelsltd,LTH,lemontreehotelsltd,https://www.moneycontrol.com/india/stockpricequote/hotels/lemontreehotelsltd/LTH
285,LIC Housing Fin,LIC,LIC,LICHSGFIN,500253,lichousingfinance,LIC,lichousingfinance,https://www.moneycontrol.com/india/stockpricequote/financehousing/lichousingfinance/LIC
286,Linde India,BOC,BOC,LINDEINDIA,523457,lindeindia,BOC,lindeindia,https://www.moneycontrol.com/india/stockpricequote/chemicals/lindeindia/BOC
287,Lupin,L,LC03,LUPIN,500257,lupin,L,lupin,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L
288,Lux Industries,LHI,LHI,LUXIND,539542,luxindustries,LHI,luxindustries,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/luxindustries/LHI
289,M&M,MM,MM,M&M,500520,mahindramahindra,MM,mahindramahindra,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/mahindramahindra/MM
290,Mah Scooters,MS01,MS01,MAHSCOOTER,500266,maharashtrascooters,MS01,maharashtrascooters,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/maharashtrascooters/MS01
291,Mah Seamless,MS02,MS02,MAHSEAMLES,500265,maharashtraseamless,MS02,maharashtraseamless,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/maharashtraseamless/MS02
292,Mahanagar Gas,MG02,MG02,MGL,539957,mahanagargas,MG02,mahanagargas,https://www.moneycontrol.com/india/stockpricequote/refineries/mahanagargas/MG02
293,Mahindra CIE,MF19,MAS,MAHINDCIE,532756,mahindracieautomotive,MF19,mahindracieautomotive,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19
294,Mahindra Holida,MHR,MHR,MHRIL,533088,mahindraholidaysresortsindia,MHR,mahindraholidaysresortsindia,https://www.moneycontrol.com/india/stockpricequote/hotels/mahindraholidaysresortsindia/MHR
295,Mahindra Life,MLD,GC16,MAHLIFE,532313,mahindralifespacedevelopers,MLD,mahindralifespacedevelopers,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/mahindralifespacedevelopers/MLD
296,Mahindra Logist,ML04,ML12,MAHLOG,540768,mahindralogistics,ML04,mahindralogistics,https://www.moneycontrol.com/india/stockpricequote/diversified/mahindralogistics/ML04
297,Manappuram Fin,MGF01,MGF01,MANAPPURAM,531213,manappuramfinance,MGF01,manappuramfinance,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/manappuramfinance/MGF01
298,Marico,M13,MI25,MARICO,531642,marico,M13,marico,https://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13
299,Maruti Suzuki,MS24,MU01,MARUTI,532500,marutisuzukiindia,MS24,marutisuzukiindia,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/marutisuzukiindia/MS24
300,MAS Financial S,MFS09,MFS09,MASFIN,540749,masfinancialservices,MFS09,masfinancialservices,https://www.moneycontrol.com/india/stockpricequote/financegeneral/masfinancialservices/MFS09
301,Max Financial,MI,MI,MFSL,500271,maxfinancialservices,MI,maxfinancialservices,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/maxfinancialservices/MI
302,MCX India,MCE,MCE,MCX,534091,multicommodityexchangeindia,MCE,multicommodityexchangeindia,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/multicommodityexchangeindia/MCE
303,Meghmani Organi,MO04,MO04,MEGH,532865,meghmaniorganics,MO04,meghmaniorganics,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/meghmaniorganics/MO04
304,Metropolis,MH06,MH09,METROPOLIS,542650,metropolishealthcare,MH06,metropolishealthcare,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/metropolishealthcare/MH06
305,Minda Corp,MC23,MC22,MINDACORP,538962,mindacorporation,MC23,mindacorporation,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mindacorporation/MC23
306,Minda Ind,MI4,MI44,MINDAIND,532539,mindaindustries,MI4,mindaindustries,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mindaindustries/MI4
307,Mindtree,MT13,MC20,MINDTREE,532819,mindtree,MT13,mindtree,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/mindtree/MT13
308,Mishra Dhatu Ni,MDN,MDN,MIDHANI,541195,mishradhatunigamltd,MDN,mishradhatunigamltd,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mishradhatunigamltd/MDN
309,MMTC Ltd,MMT,MMT,MMTC,513377,mmtc,MMT,mmtc,https://www.moneycontrol.com/india/stockpricequote/trading/mmtc/MMT
310,MOIL,M18,M11,MOIL,533286,moil,M18,moil,https://www.moneycontrol.com/india/stockpricequote/miningminerals/moil/M18
311,Motherson Sumi,MSS01,MSS01,MOTHERSUMI,517334,mothersonsumisystems,MSS01,mothersonsumisystems,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mothersonsumisystems/MSS01
312,Motilal Oswal,MOF01,MOF01,MOTILALOFS,532892,motilaloswalfinancialservices,MOF01,motilaloswalfinancialservices,https://www.moneycontrol.com/india/stockpricequote/financegeneral/motilaloswalfinancialservices/MOF01
313,MphasiS,MB02,BFL,MPHASIS,526299,mphasis,MB02,mphasis,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/mphasis/MB02
314,MRF,MRF,MRF,MRF,500290,mrf,MRF,mrf,https://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF
315,MRPL,MRP,MRP,MRPL,500109,mangalorerefinerypetrochemicals,MRP,mangalorerefinerypetrochemicals,https://www.moneycontrol.com/india/stockpricequote/refineries/mangalorerefinerypetrochemicals/MRP
316,Muthoot Finance,MF10,MF19,MUTHOOTFIN,533398,muthootfinance,MF10,muthootfinance,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/muthootfinance/MF10
317,NALCO,NAC,NAC,NATIONALUM,532234,nationalaluminiumcompany,NAC,nationalaluminiumcompany,https://www.moneycontrol.com/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC
318,Narayana Hruda,NH,NH,NH,539551,narayanahrudayalaya,NH,narayanahrudayalaya,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/narayanahrudayalaya/NH
319,Natco Pharma,NP07,NP01,NATCOPHARM,524816,natcopharma,NP07,natcopharma,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/natcopharma/NP07
320,Nava Bharat Ven,NBV,NBF01,NBVENTURES,513023,navabharatventures,NBV,navabharatventures,https://www.moneycontrol.com/india/stockpricequote/diversified/navabharatventures/NBV
321,Navin Fluorine,NFI,PRC,NAVINFLUOR,532504,navinfluorineinternational,NFI,navinfluorineinternational,https://www.moneycontrol.com/india/stockpricequote/chemicals/navinfluorineinternational/NFI
322,Navneet,NP01,NP,NAVNETEDUL,508989,navneeteducation,NP01,navneeteducation,https://www.moneycontrol.com/india/stockpricequote/printingstationery/navneeteducation/NP01
323,NBCC (India),NBC01,NBC,NBCC,534309,nbccindia,NBC01,nbccindia,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/nbccindia/NBC01
324,NCC,NCC01,NCC01,NCC,500294,ncc,NCC01,ncc,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ncc/NCC01
325,NESCO,NES,NSE,NESCO,505355,nesco,NES,nesco,https://www.moneycontrol.com/india/stockpricequote/diversified/nesco/NES
326,Nestle,NI,NI,NESTLEIND,500790,nestleindia,NI,nestleindia,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/nestleindia/NI
327,Network 18,NMI,NF07,NETWORK18,532798,network18mediainvestments,NMI,network18mediainvestments,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/network18mediainvestments/NMI
328,New India Assur,NIA,NIA,NIACL,540769,newindiaassurancecompany,NIA,newindiaassurancecompany,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/newindiaassurancecompany/NIA
329,NHPC,N07,N07,NHPC,533098,nhpc,N07,nhpc,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nhpc/N07
330,Nilkamal,NP08,NP08,NILKAMAL,523385,nilkamal,NP08,nilkamal,https://www.moneycontrol.com/india/stockpricequote/plastics/nilkamal/NP08
331,Nippon,RNL,RNL,NAM-INDIA,540767,nipponlifeindiaassetmanagement,RNL,nipponlifeindiaassetmanagement,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nipponlifeindiaassetmanagement/RNL
332,NLC India,NLC,NLC,NLCINDIA,513683,nlcindia,NLC,nlcindia,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nlcindia/NLC
