,name,scdid,scid,nseId,bseId,stkname,scdid_href,stkname_href,href
64,BHEL,BHE,BHE,BHEL,500103,bharatheavyelectricals,BHE,bharatheavyelectricals,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE
65,Biocon,BL03,BL03,BIOCON,532523,biocon,BL03,biocon,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03
66,Birla Corp,BC07,BC07,BIRLACORPN,500335,birlacorporation,BC07,birlacorporation,https://www.moneycontrol.com/india/stockpricequote/cementmajor/birlacorporation/BC07
67,Birlasoft,KPI02,KPI01,BSOFT,532400,birlasoft,KPI02,birlasoft,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/birlasoft/KPI02
68,Bliss GVS,BGV,BCP01,BLISSGVS,506197,blissgvspharma,BGV,blissgvspharma,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/blissgvspharma/BGV
69,Blue Dart,BDE,BDE,BLUEDART,526612,bluedartexpress,BDE,bluedartexpress,https://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE
70,Blue Star,BS,BS,BLUESTARCO,500067,bluestar,BS,bluestar,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS
71,Bombay Burmah,BBT,BBT,BBTC,501425,bombayburmahtradingcorporation,BBT,bombayburmahtradingcorporation,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/bombayburmahtradingcorporation/BBT
72,Bombay Dyeing,BDM,BDM,BOMDYEING,500020,bombaydyeingmanufacturingcompany,BDM,bombaydyeingmanufacturingcompany,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/bombaydyeingmanufacturingcompany/BDM
73,Bosch,B05,MIC,BOSCHLTD,500530,bosch,B05,bosch,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05
74,BPCL,BPC,BPC,BPCL,500547,bharatpetroleumcorporation,BPC,bharatpetroleumcorporation,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
75,Brigade Ent,BE08,BE08,BRIGADE,532929,brigadeenterprises,BE08,brigadeenterprises,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/brigadeenterprises/BE08
76,Britannia,BI,BI,BRITANNIA,500825,britanniaindustries,BI,britanniaindustries,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI
77,Cadila Health,CHC,CHC,CADILAHC,532321,cadilahealthcare,CHC,cadilahealthcare,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC
78,Can Fin Homes,CFH,CFH,CANFINHOME,511196,canfinhomes,CFH,canfinhomes,https://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH
79,Canara Bank,CB06,CB06,CANBK,532483,canarabank,CB06,canarabank,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06
80,Caplin Labs,CPL,CPL,CAPLIPOINT,524742,caplinpointlaboratories,CPL,caplinpointlaboratories,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL
81,Capri Global,MMF05,DSL01,CGCL,531595,capriglobalcapital,MMF05,capriglobalcapital,https://www.moneycontrol.com/india/stockpricequote/financegeneral/capriglobalcapital/MMF05
82,Carborundum,CU,CU,CARBORUNIV,513375,carborundumuniversal,CU,carborundumuniversal,https://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU
83,CARE Ratings,CAR,CAR,CARERATING,534804,careratings,CAR,careratings,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/careratings/CAR
84,Castrol,CI01,CI01,CASTROLIND,500870,castrolindia,CI01,castrolindia,https://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01
85,CCL Products,CC10,CC10,CCL,519600,cclproductsindia,CC10,cclproductsindia,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10
86,Ceat,C07,C07,CEATLTD,500878,ceat,C07,ceat,https://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07
87,Central Bank,CBO01,CBO01,CENTRALBK,532885,centralbankindia,CBO01,centralbankindia,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/centralbankindia/CBO01
88,Century,CTI,CTI,CENTURYTEX,500040,centurytextilesindustries,CTI,centurytextilesindustries,https://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI
89,CenturyPlyboard,CP9,CP9,CENTURYPLY,532548,centuryplyboards,CP9,centuryplyboards,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9
90,Cera Sanitary,CS18,MOF,CERA,532443,cerasanitaryware,CS18,cerasanitaryware,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18
91,CESC,CES,CES,CESC,500084,cesc,CES,cesc,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES
92,CG Consumer,CGC01,CGC01,CROMPTON,539876,cromptongreavesconsumerelectrical,CGC01,cromptongreavesconsumerelectrical,https://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01
93,Chalet Hotels,CH03,CH03,CHALET,542399,chalethotels,CH03,chalethotels,https://www.moneycontrol.com/india/stockpricequote/hotels/chalethotels/CH03
94,Chambal Fert,CFC,CFC,CHAMBLFERT,500085,chambalfertiliserschemicals,CFC,chambalfertiliserschemicals,https://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC
95,Chennai Petro,CPC02,MR,CHENNPETRO,500110,chennaipetroleumcorporation,CPC02,chennaipetroleumcorporation,https://www.moneycontrol.com/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02
96,Cholamandalam,CDB,CIF01,CHOLAFIN,511243,cholamandalaminvestmentfinancecompany,CDB,cholamandalaminvestmentfinancecompany,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB
97,Cholamandalam,TII,TII,CHOLAHLDNG,504973,cholamandalamfinancialholdings,TII,cholamandalamfinancialholdings,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII
98,Cipla,C,C,CIPLA,500087,cipla,C,cipla,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
99,City Union Bank,CUB,CUB,CUB,532210,cityunionbank,CUB,cityunionbank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/cityunionbank/CUB
100,Coal India,CI11,CI29,COALINDIA,533278,coalindia,CI11,coalindia,https://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11
101,Cochin Shipyard,CS,CS17,COCHINSHIP,540678,cochinshipyard,CS,cochinshipyard,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cochinshipyard/CS
102,COFORGE LTD.,NII02,NII02,COFORGE,532541,coforgelimited,NII02,coforgelimited,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/coforgelimited/NII02
103,Colgate,CPI,CPI,COLPAL,500830,colgatepalmoliveindia,CPI,colgatepalmoliveindia,https://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI
104,Container Corp,CCI,CCI,CONCOR,531344,containercorporationindia,CCI,containercorporationindia,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI
105,Coromandel Int,CI45,CF06,COROMANDEL,506395,coromandelinternational,CI45,coromandelinternational,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45
106,CreditAccess Gr,CG03,CG02,CREDITACC,541770,creditaccessgrameen,CG03,creditaccessgrameen,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/creditaccessgrameen/CG03
107,CRISIL,CRI,CRI,CRISIL,500092,crisil,CRI,crisil,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI
108,Cummins,CI02,CI02,CUMMINSIND,500480,cumminsindia,CI02,cumminsindia,https://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02
109,Cyient,IE07,IE07,CYIENT,532175,cyient,IE07,cyient,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/cyient/IE07
110,Dabur India,DI,DI,DABUR,500096,daburindia,DI,daburindia,https://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI
111,Dalmia Bharat,OCL,OCL,DALBHARAT,542216,dalmiabharat,OCL,dalmiabharat,https://www.moneycontrol.com/india/stockpricequote/cementmajor/dalmiabharat/OCL
112,DB Corp,C13,C13,DBCORP,533151,dbcorp,C13,dbcorp,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13
113,DCB Bank,DCB01,DCB01,DCBBANK,532772,dcbbank,DCB01,dcbbank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/dcbbank/DCB01
114,DCM Shriram,DCM02,DCM02,DCMSHRIRAM,523367,dcmshriram,DCM02,dcmshriram,https://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02
115,Deepak Fert,DFP,DFP,DEEPAKFERT,500645,deepakfertilizerspetrochemicalscoprn,DFP,deepakfertilizerspetrochemicalscoprn,https://www.moneycontrol.com/india/stockpricequote/fertilisers/deepakfertilizerspetrochemicalscoprn/DFP
116,Deepak Nitrite,DN,DN,DEEPAKNTR,506401,deepaknitrite,DN,deepaknitrite,https://www.moneycontrol.com/india/stockpricequote/chemicals/deepaknitrite/DN
117,Delta Corp,DC11,AW,DELTACORP,532848,deltacorp,DC11,deltacorp,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/deltacorp/DC11
118,Dhanuka Agritec,DA01,DP04,DHANUKA,507717,dhanukaagritech,DA01,dhanukaagritech,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/dhanukaagritech/DA01
119,Dilip Buildcon,DB04,DB03,DBL,540047,dilipbuildcon,DB04,dilipbuildcon,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/dilipbuildcon/DB04
120,Dish TV,DTV,DTV,DISHTV,532839,dishtvindia,DTV,dishtvindia,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dishtvindia/DTV
121,Dishman Carboge,DCA,DCA,DCAL,540701,dishmancarbogenamcis,DCA,dishmancarbogenamcis,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dishmancarbogenamcis/DCA
122,Divis Labs,DL03,DL03,DIVISLAB,532488,divislaboratories,DL03,divislaboratories,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03
123,Dixon Technolog,DT07,DT07,DIXON,540699,dixontechnologies,DT07,dixontechnologies,https://www.moneycontrol.com/india/stockpricequote/electricals/dixontechnologies/DT07
124,DLF,D04,D04,DLF,532868,dlf,D04,dlf,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04
125,Dr Lal PathLab,DLP01,DLP01,LALPATHLAB,539524,drlalpathlabs,DLP01,drlalpathlabs,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drlalpathlabs/DLP01
126,Dr Reddys Labs,DRL,DRL,DRREDDY,500124,drreddyslaboratories,DRL,drreddyslaboratories,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
127,eClerx Services,eS06,ES07,ECLERX,532927,eclerxservices,eS06,eclerxservices,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06
128,Edelweiss,EC01,EC06,EDELWEISS,532922,edelweissfinancialservices,EC01,edelweissfinancialservices,https://www.moneycontrol.com/india/stockpricequote/financegeneral/edelweissfinancialservices/EC01
129,Eicher Motors,EM,EM,EICHERMOT,505200,eichermotors,EM,eichermotors,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM
130,EID Parry,EID,EID,EIDPARRY,500125,eidparryindia,EID,eidparryindia,https://www.moneycontrol.com/india/stockpricequote/sugar/eidparryindia/EID
131,EIH,EIH,EIH,EIHOTEL,500840,eih,EIH,eih,https://www.moneycontrol.com/india/stockpricequote/hotels/eih/EIH
132,Emami,E06,E05,EMAMILTD,531162,emami,E06,emami,https://www.moneycontrol.com/india/stockpricequote/personalcare/emami/E06
133,Endurance Techn,ET01,ET04,ENDURANCE,540153,endurancetechnologies,ET01,endurancetechnologies,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01
134,EngineersInd,EI14,EI14,ENGINERSIN,532178,engineersindia,EI14,engineersindia,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14
135,EPL,EP11,EP,EPL,500135,epl,EP11,epl,https://www.moneycontrol.com/india/stockpricequote/packaging/epl/EP11
136,Equitas Holding,EH03,EH03,EQUITAS,539844,equitasholdings,EH03,equitasholdings,https://www.moneycontrol.com/india/stockpricequote/financegeneral/equitasholdings/EH03
137,Esab India,EI06,EI06,ESABINDIA,500133,esabindia,EI06,esabindia,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/esabindia/EI06
138,Escorts,E,E,ESCORTS,500495,escorts,E,escorts,https://www.moneycontrol.com/india/stockpricequote/autotractors/escorts/E
139,Exide Ind,EI,EI,EXIDEIND,500086,exideindustries,EI,exideindustries,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI
140,FDC,FDC,FDC,FDC,531599,fdc,FDC,fdc,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC
141,Federal Bank,FB,FB,FEDERALBNK,500469,federalbank,FB,federalbank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/federalbank/FB
142,Fine Organics,FOI,FOI,FINEORG,541557,fineorganicsindustries,FOI,fineorganicsindustries,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/fineorganicsindustries/FOI
143,Finolex Cables,FC01,FC01,FINCABLES,500144,finolexcables,FC01,finolexcables,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/finolexcables/FC01
144,Finolex Ind,FI,FI,FINPIPE,500940,finolexindustries,FI,finolexindustries,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/finolexindustries/FI
145,Firstsource Sol,FS07,FS07,FSL,532809,firstsourcesolutions,FS07,firstsourcesolutions,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/firstsourcesolutions/FS07
146,Force Motors,FM01,BT,FORCEMOT,500033,forcemotors,FM01,forcemotors,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01
147,Fortis Health,FH,FH,FORTIS,532843,fortishealthcare,FH,fortishealthcare,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH
148,Future Consumer,FVI,FVI,FCONSUMER,533400,futureconsumer,FVI,futureconsumer,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/futureconsumer/FVI
149,Future Retail,FR,FR,FRETAIL,540064,futureretail,FR,futureretail,https://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR
150,GAIL,GAI,GAI,GAIL,532155,gailindia,GAI,gailindia,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI
151,Galaxy Surfacta,GSL06,GSL06,GALAXYSURF,540935,galaxysurfactantsltd,GSL06,galaxysurfactantsltd,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/galaxysurfactantsltd/GSL06
152,Garden Reach Sh,GRS01,GRS01,GRSE,542011,gardenreachshipbuildersengineers,GRS01,gardenreachshipbuildersengineers,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/gardenreachshipbuildersengineers/GRS01
153,Garware Technic,GWR,GWR,GARFIBRES,509557,garwaretechnicalfibres,GWR,garwaretechnicalfibres,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/garwaretechnicalfibres/GWR
154,Gateway Distri,GD01,GD01,GDL,532622,gatewaydistriparks,GD01,gatewaydistriparks,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01
155,GE Power India,AP29,ABB01,GEPIL,532309,gepowerindia,AP29,gepowerindia,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/gepowerindia/AP29
156,GE Shipping,GES,GES,GESHIP,500620,greateasternshippingcompany,GES,greateasternshippingcompany,https://www.moneycontrol.com/india/stockpricequote/shipping/greateasternshippingcompany/GES
157,General Insuran,GIC12,GIC12,GICRE,540755,generalinsurancecorporationindia,GIC12,generalinsurancecorporationindia,https://www.moneycontrol.com/india/stockpricequote/diversified/generalinsurancecorporationindia/GIC12
158,Gillette India,GI22,ISP,GILLETTE,507815,gilletteindia,GI22,gilletteindia,https://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22
159,GlaxoSmithKline,GSK,GI,GLAXO,500660,glaxosmithklinepharmaceuticals,GSK,glaxosmithklinepharmaceuticals,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK
160,Glenmark,GP08,GP08,GLENMARK,532296,glenmarkpharma,GP08,glenmarkpharma,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08
161,GMM Pfaudler,GMM01,GMM01,GMMPFAUDLR,505255,gmmpfaudler,GMM01,gmmpfaudler,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/gmmpfaudler/GMM01
162,GMR Infra,GI27,GI27,GMRINFRA,532754,gmrinfrastructure,GI27,gmrinfrastructure,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/gmrinfrastructure/GI27
163,GNFC,GNV,GNV,GNFC,500670,gujaratnarmadavalleyfertilizerschemicals,GNV,gujaratnarmadavalleyfertilizerschemicals,https://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV
164,Godfrey Phillip,GPI,GPI,GODFRYPHLP,500163,godfreyphillipsindia,GPI,godfreyphillipsindia,https://www.moneycontrol.com/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI
165,Godrej Agrovet,GA03,GA08,GODREJAGRO,540743,godrejagrovet,GA03,godrejagrovet,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/godrejagrovet/GA03
166,Godrej Consumer,GCP,GCP,GODREJCP,532424,godrejconsumerproducts,GCP,godrejconsumerproducts,https://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP
167,Godrej Ind,GI23,GS,GODREJIND,500164,godrejindustries,GI23,godrejindustries,https://www.moneycontrol.com/india/stockpricequote/personalcare/godrejindustries/GI23
168,Godrej Prop,GP11,GP11,GODREJPROP,533150,godrejproperties,GP11,godrejproperties,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11
169,Granules India,GI25,GI22,GRANULES,532482,granulesindia,GI25,granulesindia,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25
170,Graphite India,GI13,GI13,GRAPHITE,509488,graphiteindia,GI13,graphiteindia,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/graphiteindia/GI13
171,Grasim,GI01,GI01,GRASIM,500300,grasimindustries,GI01,grasimindustries,https://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01
172,Greaves Cotton,GC20,G,GREAVESCOT,501455,greavescotton,GC20,greavescotton,https://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20
173,Grindwell Norto,GN,GN,GRINDWELL,506076,grindwellnorton,GN,grindwellnorton,https://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN
174,GSFC,GSF,GSF,GSFC,500690,gujaratstatefertilizerschemicals,GSF,gujaratstatefertilizerschemicals,https://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF
175,Guj Alkali,GAC01,GAC01,GUJALKALI,530001,gujaratalkalieschemicals,GAC01,gujaratalkalieschemicals,https://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratalkalieschemicals/GAC01
176,Guj Heavy Chem,GHC,GHC,GHCL,500171,gujaratheavychemicals,GHC,gujaratheavychemicals,https://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratheavychemicals/GHC
177,Guj Mineral,GMD,GMD,GMDCLTD,532181,gujaratmineraldevelopmentcorporation,GMD,gujaratmineraldevelopmentcorporation,https://www.moneycontrol.com/india/stockpricequote/miningminerals/gujaratmineraldevelopmentcorporation/GMD
178,Guj State Petro,GSP02,GSP02,GSPL,532702,gujaratstatepetronet,GSP02,gujaratstatepetronet,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02
179,Gujarat Fluoro,GUJAR54281,GUJAR54281,FLUOROCHEM,542812,gujaratfluorochemicalslimited,GUJAR54281,gujaratfluorochemicalslimited,https://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratfluorochemicalslimited/GUJAR54281
